,Job Title,Location,Snippet,Salary,Source,Job Type,Link,Company,Updated,JobID
0,Data Science Leader,"Austin, TX","&nbsp;...Austin, Tokyo and Hyderabad, we are improving people's lives all around the world, one job at a time.
 Your job: 
The role of <b>Data Science </b>at Employer is to follow the data. We log, analyze, visualize, and model terabytes of job search data. Our Data Scientists build...&nbsp;",,appcast.io,,"https://us.jooble.org/away/3559492293246582830?p=1&pos=1&cid=253&ckey=Data+Science&age=50&relb=160&brelb=100&scr=1411,326464&bscr=882,07904&aq=17937031",Indeed,2018-11-14T00:00:00.0000000,3559492293246582830
1,Experimentation Lead - Data Science,"San Francisco, CA","&nbsp;...'s lives all around the world, one job at a time.
 Your job: 
<b>Data-</b>informed decision-making is one of our core principles. To do that...&nbsp;&nbsp;...can expect to help answer as a Experimentation Lead on the Data <b>Science </b>team.
Responsibilities
*
Conceive of and develop methods to...&nbsp;",,appcast.io,,"https://us.jooble.org/away/1876375047578358837?p=1&pos=2&cid=253&ckey=Data+Science&age=98&relb=160&brelb=100&scr=1338,39936&bscr=836,4996&aq=17937031",Indeed,2018-11-12T00:00:00.0000000,1876375047578358837
2,Data Science SME,"Quantico, VA","&nbsp;...integrity, availability, authentication and non-repudiation of IT services provided to users on joint networks. We are seeking a <b>Data Science </b>Subject Matter Expert to join us in developing this work supporting the Defensive Cyber Operations Section (DCOS) by:...&nbsp;",,rev.appcast.io,,"https://us.jooble.org/desc/-4566987978648043263?ckey=Data+Science&rgn=-1&pos=3&elckey=-8143475871738453332&aq=17937031&age=218&relb=137&brelb=100&bscr=883,407&scr=1210,26759",Parsons,2018-11-07T00:00:00.0000000,-4566987978648043263
3,Data Science Analyst,"Richmond, VA","&nbsp;...Job Description 

 Job details are Shared below: 
 Job Title:  <b>Data Science </b>Analyst 
 Location:  Richmond, VA 
 Job Duration:  6+ Months 

 required:8+ yerars experience  Primary Skills:  Azure Data Lake SQL and U-SQL 
 Description: 
• Work on Azure Data Lake...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-50923494975320088?p=1&pos=4&cid=253&ckey=Data+Science&age=146&relb=134&brelb=100&scr=1183,0423562&bscr=882,86743&aq=17937031",Saicon Consultants Inc,2018-11-10T00:00:00.0000000,-50923494975320088
4,Data Science,"Rochester, MI","Skills 
- SQL 
- MATLAB 
- Python 
Job description 
We are looking for a progressive <b>Data </b>Scientist. You will take responsibilities for our company' whole data analysis. 
Develop methods for data handling and management for each individual project. 
Analyze the...&nbsp;",,resume-library.com,Full-time,"https://us.jooble.org/desc/-6581065571037753555?ckey=Data+Science&rgn=-1&pos=5&elckey=-8143475871738453332&aq=17937031&age=50&relb=126&brelb=100&bscr=936,25653&scr=1179,6832278",Globalmax Solutions,2018-11-14T00:00:00.0000000,-6581065571037753555
5,Data Science Engineer,"Half Moon Bay, CA","&nbsp;...Job Description 
 FT Optimize is looking for an expert <b>data </b>scientist to lead improvements in a proprietary customized bidding algorithmic system and build out a real-time machine learning pipeline. Our stack utilizes Python, Ruby and many Amazon Web Services. This person...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-6728973708611665959?p=1&pos=6&cid=253&ckey=Data+Science&age=314&relb=134&brelb=100&scr=1167,612082&bscr=871,3523&aq=17937031",FT Optimize LLC,2018-11-03T00:00:00.0000000,-6728973708611665959
6,Data Science Analyst,"Silver Spring, MD","&nbsp;...Job Description 
 
 The <b>Data Science </b>Analyst will be responsible for: Executing projects to support an innovative and internationally growing data team within a dynamic media business. These efforts will include optimization of revenue, viewership, engagement, retention...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/-1409618690576175606?p=1&pos=7&cid=253&ckey=Data+Science&age=362&relb=134&brelb=100&scr=1158,522192&bscr=864,5688&aq=17937031",Endurix,2018-11-01T00:00:00.0000000,-1409618690576175606
7,Data Science / Machine Learning,"Centennial, CO","&nbsp;...Description 
 Position Description: 
 A successful <b>Data </b>Scientist should have the following: 
 at least 4 years experience 
 Extensive experience with machine learning and statistical modeling are imperative; text mining and topic modeling are a plus 
 The team is...&nbsp;",,rev.appcast.io,,"https://us.jooble.org/desc/467483359496920835?ckey=Data+Science&rgn=-1&pos=8&elckey=-8143475871738453332&aq=17937031&age=146&relb=137&brelb=100&bscr=843,1447&scr=1155,108239",Horizontal Integration,2018-11-10T00:00:00.0000000,467483359496920835
8,Associate Data Science and Analytics,"New York, NY","&nbsp;...Description 
 Associate <b>Data Science </b>and Analytics 
3 Month Contract to Hire 
NYC, NY 
 Responsibilities: 
• Deliver Data-driven, actionable insights 
• Analyze on-site customer journeys under an optimization-focused lens 
• Present insights to clients and account...&nbsp;",,rev.appcast.io,,"https://us.jooble.org/desc/8615135674982892916?ckey=Data+Science&rgn=-1&pos=9&elckey=-8143475871738453332&aq=17937031&age=146&relb=137&brelb=100&bscr=840,3788&scr=1151,318956",Horizontal Integration,2018-11-10T00:00:00.0000000,8615135674982892916
9,Recruiter - Data Science,"Providence, RI","&nbsp;...Job Description 
As a Recruiter specializing in <b>Data Science,</b> you will serve as a talent advisor to the business by developing and executing a comprehensive recruitment strategy after fully understanding the needs of the business. In this role, your recruitment efforts...&nbsp;",,ziprecruiter.com,,"https://us.jooble.org/away/418045251923369169?p=1&pos=10&cid=253&ckey=Data+Science&age=338&relb=134&brelb=100&scr=1150,978662&bscr=858,9393&aq=17937031",Silverman McGovern,2018-11-02T00:00:00.0000000,418045251923369169
